index,hot,title,href
1,CARAZAN,Designing with Familiar Symbols for Brand Trust,https://dribbble.com/shots/
2,Victor Murea,Hexagons pt. 2,https://dribbble.com/shots/
3,Keitoto,Teraluxe: Homepage Web App SaaS Dashboard Real Estate,https://dribbble.com/shots/
4,Florian Farhay,Ghetto Bird,https://dribbble.com/shots/
5,Dipa Inhouse,Presentation Builder - Dashboard,https://dribbble.com/shots/
6,Pixelz,Getbetter - Saas Costumer Dashboard,https://dribbble.com/shots/
7,Eight Hour Day,Winter Woodland Animal Stamps Out Now,https://dribbble.com/shots/
8,Plainthing Studio,TaskFlow Website Design,https://dribbble.com/shots/
9,Orely,Digital X-Banner: Mobile App Concept ????,https://dribbble.com/shots/
10,Ronas IT | UI/UX Team,Ecommerce Website Design Concept,https://dribbble.com/shots/
11,Aleksandar Savic  / almigor,Ncoded Chip,https://dribbble.com/shots/
12,Bob Case,2 Jokers and a Fool,https://dribbble.com/shots/
13,Odama,AI - Generate Component Website,https://dribbble.com/shots/
14,Moin,CareSense - Mockups,https://dribbble.com/shots/
15,Extej Design Agency,UI UX Mobile Design For Investing Portfolio Management App,https://dribbble.com/shots/
16,Pickolab Studio,Rebio - Skincare Landing Page ????????‍♀️,https://dribbble.com/shots/
17,Upnow Studio,Marketing Landing page design,https://dribbble.com/shots/
18,Shakuro,Music Streaming Website,https://dribbble.com/shots/
19,Marcos Abdallah,Journey to Self - Poster,https://dribbble.com/shots/
20,Paperpillar,Fitness App Exploration,https://dribbble.com/shots/
21,Logorado / Nadir Balcikli,Behave Yourself - Logo Design,https://dribbble.com/shots/
22,Purrweb UI/UX Agency,College Savings Mobile iOS App,https://dribbble.com/shots/
23,Korsa,Jewelry - web design,https://dribbble.com/shots/
24,Bertalan Gombos - Logo Designer,Letter P Logo Design Concept,https://dribbble.com/shots/
