index,hot,title,href
1,2.2万,mckaywrigley / chatbot-ui,https://github.com/mckaywrigley/chatbot-ui
2,6720,aaamoon / copilot-gpt4-service,https://github.com/aaamoon/copilot-gpt4-service
3,5210,subquery / subql,https://github.com/subquery/subql
4,4.1万,meilisearch / meilisearch,https://github.com/meilisearch/meilisearch
5,520,maybe-finance / maybe,https://github.com/maybe-finance/maybe
6,1285,morethanwords / tweb,https://github.com/morethanwords/tweb
7,3943,terraform-aws-modules / terraform-aws-eks,https://github.com/terraform-aws-modules/terraform-aws-eks
8,2217,keiyoushi / extensions,https://github.com/keiyoushi/extensions
9,6.3万,excalidraw / excalidraw,https://github.com/excalidraw/excalidraw
10,2.3万,apache / flink,https://github.com/apache/flink
11,8.0万,papers-we-love / papers-we-love,https://github.com/papers-we-love/papers-we-love
12,1.4万,atuinsh / atuin,https://github.com/atuinsh/atuin
13,497,keiyoushi / extensions-source,https://github.com/keiyoushi/extensions-source
14,1138,Portkey-AI / gateway,https://github.com/Portkey-AI/gateway
15,3.6万,chakra-ui / chakra-ui,https://github.com/chakra-ui/chakra-ui
16,6.3万,DopplerHQ / awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions
17,5.1万,ByteByteGoHq / system-design-101,https://github.com/ByteByteGoHq/system-design-101
18,10.1万,microsoft / PowerToys,https://github.com/microsoft/PowerToys
19,2.7万,tachiyomiorg / tachiyomi,https://github.com/tachiyomiorg/tachiyomi
20,1.9万,LC044 / WeChatMsg,https://github.com/LC044/WeChatMsg
21,1.7万,opentofu / opentofu,https://github.com/opentofu/opentofu
22,4614,stanfordnlp / dspy,https://github.com/stanfordnlp/dspy
23,5.0万,ionic-team / ionic-framework,https://github.com/ionic-team/ionic-framework
24,5406,OdysseusYuan / LKY_OfficeTools,https://github.com/OdysseusYuan/LKY_OfficeTools
25,6928,ahmedbahaaeldin / From-0-to-Research-Scientist-resources-guide,https://github.com/ahmedbahaaeldin/From-0-to-Research-Scientist-resources-guide
