index,hot,title,href
1,4.9万,企业安全 | 浅谈数据安全治理主要过程,https://www.freebuf.com/articles/es/397153.html
2,47.8万,企业安全实践 | 从零开始学做整体安全规划,https://www.freebuf.com/articles/es/385547.html
3,1.9万,如何使用Git-Secrets防止将敏感信息意外上传至Git库,https://www.freebuf.com/sectool/393277.html
4,2.3万,荷兰芯片制造商 Nexperia 遭受勒索软件攻击,https://www.freebuf.com/news/398080.html
5,2.9万,一个人的信息安全部（3）——数据防泄露【附有DLP选型对比表】,https://www.freebuf.com/articles/security-management/397806.html
6,3.5万,号外！号外！唯品会招人啦,https://www.freebuf.com/jobs/398087.html
7,3.4万,针对全球 320 个组织，新型隐写术攻击曝光,https://www.freebuf.com/news/398051.html
8,3.2万,江苏省数据局发布《江苏省数据条例（草案）》 （征求意见稿）,https://www.freebuf.com/news/397997.html
9,3.4万,有手就会？记一次绕过防重放的漏洞挖掘,https://www.freebuf.com/vuls/397142.html
10,4.0万,FreeBuf早报 | Cyera 获得 3 亿美元融资；国安部披露5起国家安全领域典型案例,https://www.freebuf.com/news/397934.html
11,4.5万,OWASP发布10大开源软件风险清单,https://www.freebuf.com/articles/network/397888.html
12,7.6万,受国家支持的黑客正积极利用Palo Alto Networks 防火墙零日漏洞,https://www.freebuf.com/news/397973.html
13,7.2万,非结构化数据资产分类分级建设实践与思考,https://www.freebuf.com/articles/database/396282.html
14,6.3万,ipv4Bypass：一款基于IPv6实现的IPv4安全绕过与渗透测试工具,https://www.freebuf.com/sectool/393196.html
15,6.4万,Cyera 获得 3 亿美元融资，以推动人工智能的安全应用,https://www.freebuf.com/news/397915.html
16,6.9万,新发现，37% 的公开共享文件正在泄露敏感信息,https://www.freebuf.com/news/397926.html
17,3.7万,ISO27001安全管理体系内审、外审、拿证,https://www.freebuf.com/articles/security-management/397617.html
18,7.5万,应急响应 | 扑朔迷离的黑链,https://www.freebuf.com/articles/network/397134.html
19,3.4万,CISA 就 Sisense 数据泄露事件发出警告,https://www.freebuf.com/news/397912.html
20,5.3万,FreeBuf早报 | 菲律宾科技部服务器遭黑客入侵；光学巨头 Hoya 遭勒索 1000 万美元,https://www.freebuf.com/news/397717.html
