index,hot,title,href
1,9669,FCIS 2023大会AI身份卡牌正式上线,https://www.freebuf.com/news/381094.html
2,5986,选出你心中的第一名 | WitAwards 2023「大众投票」正式启动！,https://www.freebuf.com/fevents/380299.html
3,8.8万,等保能力验证2022—MySQL数据库,https://www.freebuf.com/articles/system/379875.html
4,1.4万,如何使用NIPE让Tor网络变成你的默认网关,https://www.freebuf.com/sectool/379491.html
5,3.2万,开源软件有漏洞，作者需要负责吗？是的！,https://www.freebuf.com/news/381043.html
6,1.5万,Java EL and Spel表达式注入漏洞成因和一些细节,https://www.freebuf.com/articles/web/380738.html
7,2.3万,立即更新安全补丁！WIKI系统 Confluence存在高危漏洞,https://www.freebuf.com/news/381032.html
8,1.9万,开源CasaOS云软件发现关键漏洞,https://www.freebuf.com/news/381025.html
9,2.1万,企业安全 | 威胁建模入门,https://www.freebuf.com/articles/es/380786.html
10,3.3万,FreeBuf 早报 | Gartner发布2024年十大战略技术趋势；Zabbix修复缓冲区溢出漏洞,https://www.freebuf.com/news/380910.html
11,2.6万,FB 赠书第 102 期 |《智能汽车网络安全权威指南》上下册来咯！,https://www.freebuf.com/fevents/380978.html
12,2.0万,深入分析 Ave MariaWarzone RAT,https://www.freebuf.com/articles/network/379910.html
13,3.4万,比武大会过半，知识帮会中谁能独占鳌头？,https://www.freebuf.com/fevents/380985.html
14,20.6万,攻防演练 | HVV蓝队复盘——总结（向上汇报）,https://www.freebuf.com/defense/374990.html
15,2.1万,如何使用RiskySPN检测和利用不安全的服务主体名称SPN,https://www.freebuf.com/sectool/379510.html
16,4.9万,疑似迪卡侬 8000 名员工个人信息暴露暗网上,https://www.freebuf.com/news/380889.html
17,5.2万,Gartner发布2024 年十大战略技术趋势,https://www.freebuf.com/news/380888.html
18,5.9万,漏洞挖掘 | 一文详解地图API后台配置错误漏洞更新,https://www.freebuf.com/vuls/380521.html
19,5.8万,满分漏洞！思科未修补的零日漏洞正被积极利用,https://www.freebuf.com/news/380882.html
20,3.8万,微软计划在 Win11 中弃用 NTLM 身份验证协议,https://www.freebuf.com/news/380859.html
